Code,Projet,Type,Statut,Budget Estimé,Caution,Date Création
PU-0002,"SRM CASA SETTAT",PUBLIC_TENDER,IN_PRODUCTION,0,0,Invalid Date
PU-0001,"Région Tanger - Tétouan Al Hoceima ",PUBLIC_TENDER,IN_PRODUCTION,4034800,90000,Invalid Date
